12/15/22 14:54:22
Running PrimeNumbs_Bench_A_2_secHalf.exe
Run on (12 X 3394 MHz CPU s)
CPU Caches:
  L1 Data 32K (x6)
  L1 Instruction 65K (x6)
  L2 Unified 524K (x6)
  L3 Unified 8388K (x2)
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"GBM_ItPrimeBench/30000/1",74667,15951.5,10253.9,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/30001/1",26353,31371.8,23123.6,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/30002/1",56000,14731.8,9765.62,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/30003/1",56000,20986.1,13950.9,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/30004/1",112000,15432.1,9905.13,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/30005/1",44800,26685.5,18484.9,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/30006/1",64000,15057.6,9765.62,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/30007/1",47787,21151.7,15040.7,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/30008/1",64000,15678.6,10498,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/30009/1",29867,35103.5,23018.7,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/30010/1",89600,15393.8,10986.3,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/30011/1",5600,160395,117188,ns,,,"MillerRabin: this is a Prime!!!",,
"GBM_ItPrimeBench/30012/1",56000,16280.1,8928.57,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/30013/1",7467,233197,129738,ns,,,"MillerRabin: this is a Prime!!!",,
"GBM_ItPrimeBench/30014/1",64000,16385.9,9765.62,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/30015/1",37333,23255.3,14230,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/30016/1",64000,18240,10498,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/30017/1",26353,45375.9,31424.3,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/30018/1",56000,13392.4,9486.61,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/30019/1",37333,19598.7,13811.5,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/30020/1",112000,14898.7,9486.61,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/30021/1",40727,27600.5,18415.3,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/30022/1",56000,15807.1,11439.7,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/30023/1",44800,23049.3,13602.1,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/30024/1",74667,16641.1,10672.4,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/30025/1",56000,33512.1,20926.3,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/30026/1",56000,15285.4,9486.61,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/30027/1",62330,23464,13787.5,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/30028/1",49778,15949.4,10044.6,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/30029/1",4978,262221,166357,ns,,,"MillerRabin: this is a Prime!!!",,
"GBM_ItPrimeBench/30030/1",89600,14778.5,10811.9,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/30031/1",56000,23571.6,12555.8,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/30032/1",74667,15857.1,10672.4,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/30033/1",28000,38234.9,24553.6,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/30034/1",49778,16390.1,10044.6,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/30035/1",53952,22983.2,15349.3,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/30036/1",74667,16585.6,10672.4,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/30037/1",37333,28170.7,18833.9,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/30038/1",56000,17092.8,11160.7,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/30039/1",56000,28077.5,16462.1,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/30040/1",64000,16406.6,10742.2,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/30041/1",24889,35621.8,26994.9,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/30042/1",89600,16273.6,10637.6,ns,,,"MillerRabin",,
