12/15/22 13:03:13
Running PrimeNumbs_Bench_A_3.exe
Run on (12 X 3394 MHz CPU s)
CPU Caches:
  L1 Data 32K (x6)
  L1 Instruction 65K (x6)
  L2 Unified 524K (x6)
  L3 Unified 8388K (x2)
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"GBM_ItPrimeBench/0/2",7466667,103.337,100.446,ns,,,"MillerRabinOprtimize: this is a Prime!!!",,
"GBM_ItPrimeBench/1/2",16592593,50.1052,41.4342,ns,,,"MillerRabinOprtimize: this is a Prime!!!",,
"GBM_ItPrimeBench/2/2",14451613,50.8836,44.329,ns,,,"MillerRabinOprtimize: this is a Prime!!!",,
"GBM_ItPrimeBench/3/2",14933333,47.7609,48.1306,ns,,,"MillerRabinOprtimize: this is a Prime!!!",,
"GBM_ItPrimeBench/4/2",11200000,59.7368,55.8036,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/5/2",89600,7844.56,7672.99,ns,,,"MillerRabinOprtimize: this is a Prime!!!",,
"GBM_ItPrimeBench/6/2",10000000,53.6375,51.5625,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/7/2",74667,7446.51,6905.66,ns,,,"MillerRabinOprtimize: this is a Prime!!!",,
"GBM_ItPrimeBench/8/2",10000000,76.9201,70.3125,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/9/2",8960000,79.0016,73.2422,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/10/2",8960000,66.3179,59.2913,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/11/2",89600,8290.82,8021.76,ns,,,"MillerRabinOprtimize: this is a Prime!!!",,
"GBM_ItPrimeBench/12/2",11200000,55.4942,50.2232,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/13/2",74667,10145.9,10044.6,ns,,,"MillerRabinOprtimize: this is a Prime!!!",,
"GBM_ItPrimeBench/14/2",11200000,67.459,61.3839,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/15/2",11200000,80.2277,71.1496,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/16/2",11200000,63.3965,58.5938,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/17/2",74667,12126.7,10672.4,ns,,,"MillerRabinOprtimize: this is a Prime!!!",,
"GBM_ItPrimeBench/18/2",11200000,55.6484,53.0134,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/19/2",64000,9986.52,8789.06,ns,,,"MillerRabinOprtimize: this is a Prime!!!",,
"GBM_ItPrimeBench/20/2",11200000,59.0494,57.1987,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/21/2",8960000,74.8781,71.4983,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/22/2",10000000,70.9847,57.8125,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/23/2",112000,11203.6,9486.61,ns,,,"MillerRabinOprtimize: this is a Prime!!!",,
"GBM_ItPrimeBench/24/2",11200000,74.6544,62.779,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/25/2",89600,7429.05,6975.45,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/26/2",10000000,71.8104,50,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/27/2",8960000,78.05,71.4983,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/28/2",12948645,60.2147,57.9211,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/29/2",74667,12873.3,12137.2,ns,,,"MillerRabinOprtimize: this is a Prime!!!",,
"GBM_ItPrimeBench/30/2",11200000,55.9466,50.2232,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/31/2",74667,12024.9,10253.9,ns,,,"MillerRabinOprtimize: this is a Prime!!!",,
"GBM_ItPrimeBench/32/2",13841655,66.9871,57.5708,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/33/2",10000000,85.2849,70.3125,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/34/2",10000000,59.222,51.5625,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/35/2",100000,6783.45,5781.25,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/36/2",10000000,79.5784,53.125,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/37/2",58857,14970.8,12477.3,ns,,,"MillerRabinOprtimize: this is a Prime!!!",,
"GBM_ItPrimeBench/38/2",11200000,82.74,78.125,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/39/2",8651034,86.0372,72.2457,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/40/2",8960000,77.7116,69.7545,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/41/2",49778,11687.7,11614.1,ns,,,"MillerRabinOprtimize: this is a Prime!!!",,
"GBM_ItPrimeBench/42/2",11200000,75.4878,68.3594,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/43/2",56000,14072.6,13671.9,ns,,,"MillerRabinOprtimize: this is a Prime!!!",,
"GBM_ItPrimeBench/44/2",7466667,73.078,69.0569,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/45/2",6400000,94.1557,92.7734,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/46/2",10000000,72.694,62.5,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/47/2",40727,15749.3,14962.4,ns,,,"MillerRabinOprtimize: this is a Prime!!!",,
"GBM_ItPrimeBench/48/2",11200000,63.8492,62.779,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/49/2",74667,8345.9,8161.24,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/50/2",11200000,59.967,55.8036,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/51/2",8960000,88.0599,68.0106,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/52/2",10000000,66.8618,59.375,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/53/2",49778,16428.8,14439.1,ns,,,"MillerRabinOprtimize: this is a Prime!!!",,
"GBM_ItPrimeBench/54/2",11200000,50.3924,50.2232,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/55/2",112000,7192.44,6696.43,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/56/2",10000000,58.0493,53.125,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/57/2",8960000,80.5045,80.2176,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/58/2",8960000,79.651,73.2422,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/59/2",40727,14733.9,13044.2,ns,,,"MillerRabinOprtimize: this is a Prime!!!",,
"GBM_ItPrimeBench/60/2",8960000,73.7433,68.0106,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/61/2",40727,17852.9,16113.4,ns,,,"MillerRabinOprtimize: this is a Prime!!!",,
"GBM_ItPrimeBench/62/2",10000000,68.2957,59.375,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/63/2",6400000,95.0642,95.2148,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/64/2",11200000,73.3288,69.7545,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/65/2",89600,8129.22,6975.45,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/66/2",11200000,64.1533,53.0134,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/67/2",74667,11622.7,9416.81,ns,,,"MillerRabinOprtimize: this is a Prime!!!",,
"GBM_ItPrimeBench/68/2",10000000,66.4738,50,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/69/2",7466667,87.2853,83.7054,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/70/2",10000000,79.9144,67.1875,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/71/2",56000,14553.1,12834.8,ns,,,"MillerRabinOprtimize: this is a Prime!!!",,
"GBM_ItPrimeBench/72/2",11200000,72.3401,69.7545,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/73/2",29867,23640.9,22495.6,ns,,,"MillerRabinOprtimize: this is a Prime!!!",,
"GBM_ItPrimeBench/74/2",10000000,75.2084,65.625,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/75/2",8960000,89.4775,80.2176,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/76/2",8960000,80.3582,73.2422,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/77/2",89600,8489.81,8196.15,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/78/2",10000000,66.4125,60.9375,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/79/2",56000,16642.9,16183,ns,,,"MillerRabinOprtimize: this is a Prime!!!",,
"GBM_ItPrimeBench/80/2",7466667,80.3379,77.4275,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/81/2",8960000,81.3662,74.986,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/82/2",8960000,64.7191,55.8036,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/83/2",37333,17582.1,16741.2,ns,,,"MillerRabinOprtimize: this is a Prime!!!",,
"GBM_ItPrimeBench/84/2",8960000,83.5125,74.986,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/85/2",89600,11123.9,10288.8,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/86/2",10000000,76.4386,70.3125,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/87/2",6400000,97.8105,85.4492,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/88/2",8960000,73.9998,71.4983,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/89/2",29867,25552.6,23541.9,ns,,,"MillerRabinOprtimize: this is a Prime!!!",,
"GBM_ItPrimeBench/90/2",7466667,72.8663,71.1496,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/91/2",74667,8733.05,7951.97,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/92/2",7466667,77.8282,75.3348,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/93/2",11200000,90.0325,83.7054,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/94/2",10000000,52.9562,53.125,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/95/2",74667,8797.57,7742.71,ns,,,"MillerRabinOprtimize",,
