12/15/22 13:08:35
Running PrimeNumbs_Bench_B.exe
Run on (12 X 3394 MHz CPU s)
CPU Caches:
  L1 Data 32K (x6)
  L1 Instruction 65K (x6)
  L2 Unified 524K (x6)
  L3 Unified 8388K (x2)
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"GBM_ItPrimeBench/65535/0",8960000,75.5768,73.2422,ns,,,"BruteForce",,
"GBM_ItPrimeBench/131071/0",100,5.23002e+06,5.15625e+06,ns,,,"BruteForce: this is a Prime!!!",,
"GBM_ItPrimeBench/262143/0",8960000,79.3753,69.7545,ns,,,"BruteForce",,
"GBM_ItPrimeBench/524287/0",37,1.58331e+07,1.39358e+07,ns,,,"BruteForce: this is a Prime!!!",,
"GBM_ItPrimeBench/1048575/0",10000000,56.9756,56.25,ns,,,"BruteForce",,
"GBM_ItPrimeBench/2097151/0",3446154,200.441,194.964,ns,,,"BruteForce",,
"GBM_ItPrimeBench/4194303/0",11200000,65.0998,64.1741,ns,,,"BruteForce",,
"GBM_ItPrimeBench/8388607/0",560000,1704.59,1702.01,ns,,,"BruteForce",,
"GBM_ItPrimeBench/16777215/0",11200000,72.5628,69.7545,ns,,,"BruteForce",,
"GBM_ItPrimeBench/33554431/0",746667,1058.73,1046.32,ns,,,"BruteForce",,
"GBM_ItPrimeBench/67108863/0",10000000,69.4798,70.3125,ns,,,"BruteForce",,
"GBM_ItPrimeBench/134217727/0",3733333,225.952,226.004,ns,,,"BruteForce",,
"GBM_ItPrimeBench/268435455/0",10000000,75.4645,75,ns,,,"BruteForce",,
"GBM_ItPrimeBench/536870911/0",89600,7486.48,7149.83,ns,,,"BruteForce",,
"GBM_ItPrimeBench/1073741823/0",8960000,61.8659,57.5474,ns,,,"BruteForce",,
"GBM_ItPrimeBench/2147483647/0",1,6.84761e+10,6.39062e+10,ns,,,"BruteForce: this is a Prime!!!",,
"GBM_ItPrimeBench/4294967295/0",8960000,75.605,71.4983,ns,,,"BruteForce",,
"GBM_ItPrimeBench/65535/1",34462,23979.8,23123.3,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/131071/1",2133,282084,256388,ns,,,"MillerRabin: this is a Prime!!!",,
"GBM_ItPrimeBench/262143/1",26353,33270.8,30831.4,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/524287/1",1723,430541,380876,ns,,,"MillerRabin: this is a Prime!!!",,
"GBM_ItPrimeBench/1048575/1",21333,36787.6,32959.5,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/2097151/1",17920,35165.1,31389.5,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/4194303/1",17920,35311.5,33133.4,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/8388607/1",21333,48391.3,45410.9,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/16777215/1",16593,44694.3,42374.8,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/33554431/1",10000,53283.7,50000,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/67108863/1",11200,55642.5,57198.7,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/134217727/1",11200,63354.8,57198.7,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/268435455/1",11200,71043,69754.5,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/536870911/1",11200,61403.1,58593.8,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/1073741823/1",11200,73805.3,68359.4,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/2147483647/1",560,1.60403e+06,1.5067e+06,ns,,,"MillerRabin: this is a Prime!!!",,
"GBM_ItPrimeBench/4294967295/1",8960,79757.3,74986,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/65535/2",8960000,96.9647,90.6808,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/131071/2",2635,291558,260911,ns,,,"MillerRabinOprtimize: this is a Prime!!!",,
"GBM_ItPrimeBench/262143/2",6400000,97.3668,78.125,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/524287/2",2133,386982,344292,ns,,,"MillerRabinOprtimize: this is a Prime!!!",,
"GBM_ItPrimeBench/1048575/2",8960000,98.8835,87.1931,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/2097151/2",22400,37114.2,34877.2,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/4194303/2",7466667,100.057,87.8906,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/8388607/2",22400,43352.8,40457.6,ns,,,"MillerRabinOprtimize",,
