2022-12-16T16:04:09+03:00
Running /home/kp-22/Рабочий стол/lw2_PrimeNumbs_MSVS/build/PrimeNumbs/bench/PrimeNumbsBench
Run on (12 X 2435.91 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x6)
  L1 Instruction 64 KiB (x6)
  L2 Unified 512 KiB (x6)
  L3 Unified 8192 KiB (x2)
Load Average: 1.18, 0.80, 0.56
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"GBM_ItPrimeBench/65535/0",18002559,38.9446,38.944,ns,,,"BruteForce",,
"GBM_ItPrimeBench/131071/0",253,2.74812e+06,2.74801e+06,ns,,,"BruteForce: this is a Prime!!!",,
"GBM_ItPrimeBench/262143/0",17961027,38.9546,38.9534,ns,,,"BruteForce",,
"GBM_ItPrimeBench/524287/0",64,1.09975e+07,1.09969e+07,ns,,,"BruteForce: this is a Prime!!!",,
"GBM_ItPrimeBench/1048575/0",17999408,38.9058,38.9048,ns,,,"BruteForce",,
"GBM_ItPrimeBench/2097151/0",5179521,134.955,134.94,ns,,,"BruteForce",,
"GBM_ItPrimeBench/4194303/0",18032524,38.8117,38.8112,ns,,,"BruteForce",,
"GBM_ItPrimeBench/8388607/0",722692,968.408,968.364,ns,,,"BruteForce",,
"GBM_ItPrimeBench/16777215/0",17992384,38.9375,38.936,ns,,,"BruteForce",,
"GBM_ItPrimeBench/33554431/0",1101834,634.474,634.407,ns,,,"BruteForce",,
"GBM_ItPrimeBench/67108863/0",17969579,38.9515,38.95,ns,,,"BruteForce",,
"GBM_ItPrimeBench/134217727/0",5178560,135.092,135.084,ns,,,"BruteForce",,
"GBM_ItPrimeBench/268435455/0",17966211,38.9576,38.9549,ns,,,"BruteForce",,
"GBM_ItPrimeBench/536870911/0",144621,4840.94,4840.75,ns,,,"BruteForce",,
"GBM_ItPrimeBench/1073741823/0",18019726,38.8206,38.8196,ns,,,"BruteForce",,
"GBM_ItPrimeBench/2147483647/0",1,4.55282e+10,4.55245e+10,ns,,,"BruteForce: this is a Prime!!!",,
"GBM_ItPrimeBench/4294967295/0",17955948,39.0653,39.0634,ns,,,"BruteForce",,
"GBM_ItPrimeBench/65535/1",52739,13317.4,13317,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/131071/1",4267,171728,171718,ns,,,"MillerRabin: this is a Prime!!!",,
"GBM_ItPrimeBench/262143/1",45536,15346.4,15346.2,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/524287/1",3630,179452,179449,ns,,,"MillerRabin: this is a Prime!!!",,
"GBM_ItPrimeBench/1048575/1",39201,17923.8,17923.7,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/2097151/1",35695,19553.7,19552.9,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/4194303/1",33643,20810.3,20809.9,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/8388607/1",31102,22485.6,22484.6,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/16777215/1",28621,24503.5,24502.9,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/33554431/1",27137,25759.7,25759,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/67108863/1",25432,27744,27743.5,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/134217727/1",23092,30039.2,30037.9,ns,,,"MillerRabin",,
