12/16/22 01:33:33
Running PrimeNumbs_.exe
Run on (12 X 3394 MHz CPU s)
CPU Caches:
  L1 Data 32K (x6)
  L1 Instruction 65K (x6)
  L2 Unified 524K (x6)
  L3 Unified 8388K (x2)
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32769/0/real_time",13921068,54.2807,47.1408,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32770/0/real_time",25938367,21.4741,18.6741,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32771/0/real_time",848,758262,737028,ns,,,"BruteForce: this is a Prime!!!",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32772/0/real_time",35041542,20.8235,20.5114,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32773/0/real_time",2254322,303.604,298.039,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32774/0/real_time",33685102,20.6908,20.4096,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32775/0/real_time",13070553,53.808,47.8174,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32776/0/real_time",28672802,20.4454,20.1628,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32777/0/real_time",415793,1908.55,1766.2,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32778/0/real_time",34291486,21.3168,20.96,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32779/0/real_time",893,780810,664894,ns,,,"BruteForce: this is a Prime!!!",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32780/0/real_time",31451062,22.8414,22.853,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32781/0/real_time",13859218,52.3233,49.606,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32782/0/real_time",29482337,21.8767,19.6092,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32783/0/real_time",922,788765,745662,ns,,,"BruteForce: this is a Prime!!!",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32784/0/real_time",28683717,20.4589,17.9762,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32785/0/real_time",5062555,120.658,123.455,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32786/0/real_time",27921117,20.7361,18.4672,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32787/0/real_time",12252843,53.7347,47.1829,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32788/0/real_time",33858839,23.425,19.3819,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32789/0/real_time",679,808168,667342,ns,,,"BruteForce: this is a Prime!!!",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32790/0/real_time",28237352,20.8234,20.4738,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32791/0/real_time",2725886,259.025,252.212,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32792/0/real_time",30370898,23.4499,21.6079,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32793/0/real_time",11914975,60.1854,57.7005,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32794/0/real_time",30096446,26.706,25.4391,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32795/0/real_time",5991463,136.683,106.923,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32796/0/real_time",23860174,25.4263,22.92,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32797/0/real_time",761,867894,759691,ns,,,"BruteForce: this is a Prime!!!",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32798/0/real_time",24789238,23.5321,21.4307,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32799/0/real_time",9140457,71.1897,56.4113,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32800/0/real_time",27589208,29.5281,23.7865,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32801/0/real_time",649,1.12396e+06,890794,ns,,,"BruteForce: this is a Prime!!!",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32802/0/real_time",19904028,31.4161,23.5505,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32803/0/real_time",628,1.13986e+06,746417,ns,,,"BruteForce: this is a Prime!!!",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32804/0/real_time",21520226,37.1027,31.9467,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32805/0/real_time",8572065,77.6235,34.6328,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32806/0/real_time",18784790,34.608,31.608,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32807/0/real_time",386342,1995.88,1455.96,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32808/0/real_time",20216367,35.1924,23.1867,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32809/0/real_time",2875846,238.186,195.595,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32810/0/real_time",21468000,32.1894,26.2018,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32811/0/real_time",7924415,84.7322,76.8984,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32812/0/real_time",18330702,32.7196,28.9814,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32813/0/real_time",1664462,436.029,309.785,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32814/0/real_time",21720729,34.4283,27.3356,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32815/0/real_time",4309188,165.119,137.787,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32816/0/real_time",18053907,39.1089,23.3675,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32817/0/real_time",8934794,86.1,73.4488,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32818/0/real_time",18697685,34.4897,21.7273,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32819/0/real_time",498554,1439.29,971.56,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32820/0/real_time",19086873,35.009,27.0146,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32821/0/real_time",946906,895.07,429.029,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32822/0/real_time",18429923,38.3962,29.6732,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32823/0/real_time",8784192,84.5355,74.7081,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32824/0/real_time",19030039,35.1739,29.5585,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32825/0/real_time",4251538,173.767,99.2288,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32826/0/real_time",18959066,39.434,36.2623,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32827/0/real_time",1112846,685.529,519.501,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32828/0/real_time",19526968,34.7929,26.4058,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32829/0/real_time",9801986,83.0812,65.3567,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32830/0/real_time",18749163,37.1645,19.1675,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32831/0/real_time",573,1.3118e+06,899869,ns,,,"BruteForce: this is a Prime!!!",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32832/0/real_time",19390566,38.4962,21.7567,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32833/0/real_time",579,1.2405e+06,836572,ns,,,"BruteForce: this is a Prime!!!",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32834/0/real_time",18712740,37.9704,27.5548,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32835/0/real_time",7771595,84.7145,54.2842,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32836/0/real_time",19123645,37.5596,23.6945,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32837/0/real_time",2568706,279.96,200.733,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32838/0/real_time",19066956,36.4193,33.5987,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32839/0/real_time",551,1.32514e+06,1.21937e+06,ns,,,"BruteForce: this is a Prime!!!",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32840/0/real_time",18275636,37.2563,22.229,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32841/0/real_time",6888889,80.1684,43.0948,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32842/0/real_time",18226509,38.6743,26.5753,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32843/0/real_time",579,1.34429e+06,1.32232e+06,ns,,,"BruteForce: this is a Prime!!!",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32844/0/real_time",18757091,37.5667,35.8198,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32845/0/real_time",3771517,182.357,120.144,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32846/0/real_time",16347364,37.2567,34.4092,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32847/0/real_time",8330666,84.5649,84.402,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32848/0/real_time",17326287,40.8273,39.6796,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32849/0/real_time",143646,4759.63,3807.1,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32850/0/real_time",18404972,42.3863,45.8436,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32851/0/real_time",2448670,285.947,268.003,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32852/0/real_time",17068063,43.8975,32.9563,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32853/0/real_time",6459418,96.3267,89.5011,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32854/0/real_time",19666219,36.6677,35.7529,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32855/0/real_time",3371372,206.976,190.019,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32856/0/real_time",17344352,38.1257,37.8365,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32857/0/real_time",1511881,468.91,516.74,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32858/0/real_time",18481302,37.4432,37.1998,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32859/0/real_time",7581616,92.2274,86.5581,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32860/0/real_time",17836990,38.6663,41.1715,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32861/0/real_time",780439,715.642,620.644,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32862/0/real_time",18736381,36.7267,39.1951,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32863/0/real_time",292772,2203.28,2188.14,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32864/0/real_time",17338934,41.4163,41.453,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32865/0/real_time",8058055,89.0548,89.1965,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32866/0/real_time",14349993,42.0145,39.1986,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32867/0/real_time",669130,1022.83,1050.8,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32868/0/real_time",18157882,39.9808,38.7229,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32869/0/real_time",489,1.29901e+06,1.24617e+06,ns,,,"BruteForce: this is a Prime!!!",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32870/0/real_time",19045256,39.7021,37.7391,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32871/0/real_time",7517142,96.2665,83.1433,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32872/0/real_time",18162528,37.7141,35.2718,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32873/0/real_time",219646,3043.95,2987.76,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32874/0/real_time",18107399,39.4162,35.3792,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32875/0/real_time",3422253,191.232,182.628,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32876/0/real_time",17527395,37.8351,33.8755,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32877/0/real_time",7457757,92.6657,94.281,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32878/0/real_time",13247991,40.0123,40.1004,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32879/0/real_time",2488131,288.739,288.871,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32880/0/real_time",17539679,40.6889,32.0701,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32881/0/real_time",97912,6301.74,6702.45,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32882/0/real_time",16807820,38.9633,30.6777,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32883/0/real_time",7776050,86.6217,80.375,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32884/0/real_time",19598746,35.9692,34.2815,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32885/0/real_time",3613047,223.088,233.529,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32886/0/real_time",18786469,39.0461,39.9224,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32887/0/real_time",486,1.45454e+06,1.47891e+06,ns,,,"BruteForce: this is a Prime!!!",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32888/0/real_time",17910211,38.2962,38.3859,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32889/0/real_time",8409530,79.1067,72.4624,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32890/0/real_time",17276694,37.9323,37.9847,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32891/0/real_time",547366,1279.16,1227.47,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32892/0/real_time",18037955,36.4686,36.3816,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32893/0/real_time",2518104,284.528,285.433,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32894/0/real_time",18111292,35.844,36.2343,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32895/0/real_time",7260055,91.2567,90.3919,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32896/0/real_time",18218525,46.0596,32.5905,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32897/0/real_time",203957,3050.68,3140.98,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32898/0/real_time",17495526,39.9776,39.2958,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32899/0/real_time",101428,7010.45,6007.96,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32900/0/real_time",19191080,44.3082,35.0098,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32901/0/real_time",7888168,84.7145,87.1559,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32902/0/real_time",17639591,38.1619,36.3175,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32903/0/real_time",996380,534.568,533.18,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32904/0/real_time",17943657,36.8787,35.702,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32905/0/real_time",3778888,197.032,190.201,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32906/0/real_time",15694927,37.6135,35.8396,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32907/0/real_time",7491150,94.4028,85.5176,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32908/0/real_time",19181997,39.9985,39.0992,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32909/0/real_time",506,1.44896e+06,1.45133e+06,ns,,,"BruteForce: this is a Prime!!!",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32910/0/real_time",17978128,41.4384,40.8482,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32911/0/real_time",536,1.4435e+06,1.3118e+06,ns,,,"BruteForce: this is a Prime!!!",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32912/0/real_time",18806618,37.2609,36.5563,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32913/0/real_time",7571267,92.784,78.4215,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32914/0/real_time",19020912,38.5545,39.4303,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32915/0/real_time",3601166,199.824,203.927,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32916/0/real_time",16675803,40.1747,41.2274,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32917/0/real_time",560,1.41451e+06,1.39509e+06,ns,,,"BruteForce: this is a Prime!!!",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32918/0/real_time",18899871,35.8848,35.5492,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32919/0/real_time",8148223,96.7851,74.7862,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32920/0/real_time",18407039,41.7178,39.0476,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32921/0/real_time",2376873,265.24,282.672,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua3:32922/0/real_time",15982837,40.4246,43.9925,ns,,,"BruteForce",,
