12/16/22 01:34:01
Running PrimeNumbs_.exe
Run on (12 X 3394 MHz CPU s)
CPU Caches:
  L1 Data 32K (x6)
  L1 Instruction 65K (x6)
  L2 Unified 524K (x6)
  L3 Unified 8388K (x2)
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32769/1/real_time",39121,19100.8,11982.1,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32770/1/real_time",95850,6643.79,5868.54,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32771/1/real_time",19921,39067.7,32158.3,ns,,,"MillerRabin: this is a Prime!!!",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32772/1/real_time",105903,7111.59,4721.3,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32773/1/real_time",68438,9649.25,5936.03,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32774/1/real_time",95627,7200.36,5882.23,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32775/1/real_time",84347,8944.93,6668.88,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32776/1/real_time",90575,7586.45,5347.78,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32777/1/real_time",54322,11597.7,10642.6,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32778/1/real_time",99715,7045.04,5797.77,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32779/1/real_time",15634,40893.4,26984.5,ns,,,"MillerRabin: this is a Prime!!!",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32780/1/real_time",96098,7480.37,6341.18,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32781/1/real_time",64396,10308,7764.46,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32782/1/real_time",89638,7586.74,6275.24,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32783/1/real_time",10000,50451.2,32812.5,ns,,,"MillerRabin: this is a Prime!!!",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32784/1/real_time",95049,7593.08,6246.78,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32785/1/real_time",53887,12665.2,10438.5,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32786/1/real_time",94059,7537.66,5149.69,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32787/1/real_time",69532,9934.86,5393.2,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32788/1/real_time",89763,7814.91,4873.95,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32789/1/real_time",10406,73280.3,54055.4,ns,,,"MillerRabin: this is a Prime!!!",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32790/1/real_time",94126,7748.89,4980.03,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32791/1/real_time",72672,9461.18,7310.24,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32792/1/real_time",96153,8074.93,5362.55,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32793/1/real_time",56676,12588.5,8546.39,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32794/1/real_time",91144,8180.56,4800.1,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32795/1/real_time",72858,10088.3,7934.96,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32796/1/real_time",77435,8378.72,8071.29,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32797/1/real_time",8104,70038.1,53985.7,ns,,,"MillerRabin: this is a Prime!!!",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32798/1/real_time",85492,8490.03,5300.2,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32799/1/real_time",64084,11121.1,8533.72,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32800/1/real_time",75993,8592.72,6785.16,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32801/1/real_time",6202,115595,68022.4,ns,,,"MillerRabin: this is a Prime!!!",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32802/1/real_time",90746,7962.86,6887.36,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32803/1/real_time",11936,52071.4,28799.4,ns,,,"MillerRabin: this is a Prime!!!",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32804/1/real_time",89172,7870.9,4906.25,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32805/1/real_time",56296,11654.7,9436.73,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32806/1/real_time",87477,8391.54,5715.79,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32807/1/real_time",68045,10698.3,9185.1,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32808/1/real_time",85874,8168.8,4184.91,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32809/1/real_time",52588,14095.2,11290.6,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32810/1/real_time",85721,8341.51,6926.54,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32811/1/real_time",68628,10230.1,6830.3,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32812/1/real_time",79984,8443.34,5469.84,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32813/1/real_time",57814,12191,7297.11,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32814/1/real_time",79691,8373.49,6078.16,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32815/1/real_time",67442,10721.5,9035.54,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32816/1/real_time",80245,8734.48,5646.77,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32817/1/real_time",49318,14927.1,11405.6,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32818/1/real_time",87094,8265.71,5740.92,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32819/1/real_time",63687,11129.7,8586.92,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32820/1/real_time",80746,8634.12,5998.75,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32821/1/real_time",58220,12928,12345.4,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32822/1/real_time",78803,8601.91,7138.05,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32823/1/real_time",60767,11479.4,8228.15,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32824/1/real_time",78744,9338.35,9722.96,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/miller_2pow_0_16_qua3:32825/1/real_time",41634,15475.5,13510.6,ns,,,"MillerRabin",,
