12/16/22 01:33:39
Running PrimeNumbs_.exe
Run on (12 X 3394 MHz CPU s)
CPU Caches:
  L1 Data 32K (x6)
  L1 Instruction 65K (x6)
  L2 Unified 524K (x6)
  L3 Unified 8388K (x2)
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"GBM_ItPrimeBench/brute_2pow_0_16_qua4:49152/0/real_time",35108292,21.2761,19.5823,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua4:49153/0/real_time",2162062,311.28,296.303,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua4:49154/0/real_time",34700689,21.4712,20.7128,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua4:49155/0/real_time",13196069,51.3652,52.0988,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua4:49156/0/real_time",27372116,21.1224,18.2668,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua4:49157/0/real_time",594,1.22917e+06,1.18371e+06,ns,,,"BruteForce: this is a Prime!!!",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua4:49158/0/real_time",35171019,23.2206,20.4359,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua4:49159/0/real_time",2394287,276.831,234.934,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua4:49160/0/real_time",33813174,21.3909,19.4081,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua4:49161/0/real_time",9929895,52.372,51.9265,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua4:49162/0/real_time",34787570,22.5081,19.7628,ns,,,"BruteForce",,
"GBM_ItPrimeBench/brute_2pow_0_16_qua4:49163/0/real_time",139266,5784.16,4936.6,ns,,,"BruteForce",,
