12/16/22 16:52:29
Running PrimeNumbs_.exe
Run on (12 X 3394 MHz CPU s)
CPU Caches:
  L1 Data 32K (x6)
  L1 Instruction 65K (x6)
  L2 Unified 524K (x6)
  L3 Unified 8388K (x2)
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"GBM_ItPrimeBench/two_pow16minus1_to_pow32minus1:65535/0",14451613,49.8679,48.6537,ns,,,"BruteForce",,
"GBM_ItPrimeBench/two_pow16minus1_to_pow32minus1:131071/0",236,3.08584e+06,3.04555e+06,ns,,,"BruteForce: this is a Prime!!!",,
"GBM_ItPrimeBench/two_pow16minus1_to_pow32minus1:262143/0",14451613,48.3845,48.6537,ns,,,"BruteForce",,
"GBM_ItPrimeBench/two_pow16minus1_to_pow32minus1:524287/0",56,1.22579e+07,1.22768e+07,ns,,,"BruteForce: this is a Prime!!!",,
"GBM_ItPrimeBench/two_pow16minus1_to_pow32minus1:1048575/0",14933333,48.3775,49.1769,ns,,,"BruteForce",,
"GBM_ItPrimeBench/two_pow16minus1_to_pow32minus1:2097151/0",4072727,159.557,157.296,ns,,,"BruteForce",,
"GBM_ItPrimeBench/two_pow16minus1_to_pow32minus1:4194303/0",14933333,48.585,49.1769,ns,,,"BruteForce",,
"GBM_ItPrimeBench/two_pow16minus1_to_pow32minus1:8388607/0",497778,1090.39,1098.63,ns,,,"BruteForce",,
"GBM_ItPrimeBench/two_pow16minus1_to_pow32minus1:16777215/0",14451613,48.7573,48.6537,ns,,,"BruteForce",,
"GBM_ItPrimeBench/two_pow16minus1_to_pow32minus1:33554431/0",1120000,719.992,711.496,ns,,,"BruteForce",,
"GBM_ItPrimeBench/two_pow16minus1_to_pow32minus1:67108863/0",11200000,48.7665,47.433,ns,,,"BruteForce",,
"GBM_ItPrimeBench/two_pow16minus1_to_pow32minus1:134217727/0",4480000,160.852,160.435,ns,,,"BruteForce",,
"GBM_ItPrimeBench/two_pow16minus1_to_pow32minus1:268435455/0",14451613,48.3612,48.6537,ns,,,"BruteForce",,
"GBM_ItPrimeBench/two_pow16minus1_to_pow32minus1:536870911/0",100000,5426.06,5468.75,ns,,,"BruteForce",,
"GBM_ItPrimeBench/two_pow16minus1_to_pow32minus1:1073741823/0",14933333,48.3237,49.1769,ns,,,"BruteForce",,
"GBM_ItPrimeBench/two_pow16minus1_to_pow32minus1:2147483647/0",1,5.29636e+10,5.15625e+10,ns,,,"BruteForce: this is a Prime!!!",,
