12/16/22 16:53:10
Running PrimeNumbs_.exe
Run on (12 X 3394 MHz CPU s)
CPU Caches:
  L1 Data 32K (x6)
  L1 Instruction 65K (x6)
  L2 Unified 524K (x6)
  L3 Unified 8388K (x2)
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:65537/0",448,1.57902e+06,1.5346e+06,ns,,,"BruteForce: this is a Prime!!!",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:131073/0",10000000,52.3502,53.125,ns,,,"BruteForce",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:262145/0",6400000,119.671,109.863,ns,,,"BruteForce",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:524289/0",14933333,50.6276,50.2232,ns,,,"BruteForce",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:1048577/0",1659259,403.098,404.925,ns,,,"BruteForce",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:2097153/0",14933333,50.04,50.2232,ns,,,"BruteForce",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:4194305/0",5600000,118.687,119.978,ns,,,"BruteForce",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:8388609/0",10000000,53.2106,51.5625,ns,,,"BruteForce",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:16777217/0",280000,2332.04,2232.14,ns,,,"BruteForce",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:33554433/0",10000000,59.1632,51.5625,ns,,,"BruteForce",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:67108865/0",6400000,124.724,104.98,ns,,,"BruteForce",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:134217729/0",10000000,50.2997,50,ns,,,"BruteForce",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:268435457/0",1544828,414.88,394.461,ns,,,"BruteForce",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:536870913/0",10000000,50.0134,51.5625,ns,,,"BruteForce",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:1073741825/0",6400000,118.248,114.746,ns,,,"BruteForce",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:2147483649/0",14451613,50.0217,50.8161,ns,,,"BruteForce",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:4294967297/0",49778,15137.9,15380.8,ns,,,"BruteForce",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:65537/1",4978,146536,141246,ns,,,"MillerRabin: this is a Prime!!!",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:131073/1",44800,16498.1,16741.1,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:262145/1",34462,17569.4,17682.5,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:524289/1",26353,21999.7,20159,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:1048577/1",35969,19838.5,18679.3,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:2097153/1",24889,21252.9,20717,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:4194305/1",37333,21851.5,21763.6,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:8388609/1",29867,24358.2,23541.9,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:16777217/1",28000,23715.1,23437.5,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:33554433/1",28000,28412.4,24553.6,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:67108865/1",26353,29609.7,25495.2,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:134217729/1",24889,27936.2,28250.4,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:268435457/1",24889,38201.5,36411.7,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:536870913/1",16593,41086.4,39549.8,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:1073741825/1",18667,33663.5,33481.5,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:2147483649/1",22400,33375,33482.1,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:4294967297/1",15448,44581.8,44504.1,ns,,,"MillerRabin",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:65537/2",4978,147793,147524,ns,,,"MillerRabinOprtimize: this is a Prime!!!",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:131073/2",11200000,58.9898,58.5938,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:262145/2",44800,17160.1,16741.1,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:524289/2",11200000,67.7353,66.9643,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:1048577/2",40727,18880.8,18415.3,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:2097153/2",8960000,58.7921,59.2913,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:4194305/2",34462,20804.7,20402.9,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:8388609/2",11200000,69.5731,65.5692,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:16777217/2",29867,25557.1,25634.5,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:33554433/2",8960000,61.4864,61.0352,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:67108865/2",26353,26418.9,26088.1,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:134217729/2",11200000,62.5531,61.3839,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:268435457/2",23579,29099.3,29157.3,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:536870913/2",11150223,60.74,58.8553,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:1073741825/2",21333,31859.3,31494.6,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:2147483649/2",11200000,59.3016,58.5938,ns,,,"MillerRabinOprtimize",,
"GBM_ItPrimeBench/two_pow16plus1_to_pow32plus1:4294967297/2",15448,45414.6,45515.6,ns,,,"MillerRabinOprtimize",,
